brands,count,clean_brand
365 Everyday Value,261,365 Everyday Value
"365 Everyday Value,  Whole Foods Market  Inc.",476,365 Everyday Value
Ahold,1003,Ahold
Big Y,272,Big Y
"Big Y,  Big Y Foods  Inc.",152,Big Y
"Blue Bunny,  Wells Enterprises  Inc.",208,Blue Bunny
Brookshire's,274,Brookshire's
Clover Valley,207,Clover Valley
Crystal Farms,167,Crystal Farms
Del Monte,182,Del Monte
Dole,161,Dole
Family Gourmet,163,Family Gourmet
Food Club,640,Food Club
Food Lion,511,Food Lion
"Food Lion,  Food Town Stores Inc.",359,Food Lion
Fresh & Easy,355,Fresh & Easy
Giant,399,Giant
Giant Eagle,479,Giant Eagle
"Giant Eagle,  Giant Eagle  Inc.",260,Giant Eagle
Great Value,1106,Great Value
"Great Value,  Wal-Mart Stores  Inc.",184,Great Value
Harris Teeter,629,Harris Teeter
Hormel,163,Hormel
Hy-Vee,462,Hy-Vee
Hy-Vee  Inc.,150,Hy-Vee
"Hy-Vee,  Hy-Vee  Inc.",251,Hy-Vee
Johnvince Foods,151,Johnvince Foods
Key Food,270,Key Food
Kroger,1287,Kroger
"Kroger,  The Kroger Co.",198,Kroger
Lowes Foods,207,Lowes Foods
Market Pantry,310,Market Pantry
"Market Pantry,  Target Stores",274,Market Pantry
Meijer,970,Meijer
Meijer  Inc.,154,Meijer
"Meijer,  Meijer  Inc.",260,Meijer
Other,75953,Other
Private Selection,175,Private Selection
Roundy's,965,Roundy's
"Russell Stover,  Russell Stover Candies Inc.",160,Russell Stover
Safeway  Inc.,181,Safeway  Inc.
Shurfine,161,Shurfine
Signature Kitchens,174,Signature Kitchens
Southern Home,243,Southern Home
Spartan,1055,Spartan
Target Stores,819,Target Stores
The Kroger Co.,163,Kroger
Tops,246,Tops
"Tops,  Tops Markets  Llc",219,Tops
Trader Joe's,357,Trader Joe's
Wal-Mart Stores  Inc.,286,Wal-Mart Stores  Inc.
Wegmans,454,Wegmans
"Wegmans,  Wegmans Food Markets  Inc.",263,Wegmans
Western Family,231,Western Family
"Whole Foods Market,  Harry's Farmers Market  Ltd.",155,"Whole Foods Market,  Harry's Farmers Market  Ltd."
Wild Harvest,175,Wild Harvest
Winco Foods,183,Winco Foods
Winn-Dixie,160,Winn-Dixie